name,duration,split
Alto-1#newboy/0000.wav,5.005,train
Alto-1#newboy/0001.wav,7.545,train
Alto-1#newboy/0002.wav,7.165,train
Alto-1#newboy/0003.wav,7.545,train
Alto-1#newboy/0004.wav,6.58,train
Alto-1#newboy/0005.wav,4.31,train
Alto-1#newboy/0006.wav,6.72,train
Alto-1#newboy/0007.wav,4.085,train
Alto-1#newboy/0008.wav,4.17,train
Alto-1#newboy/0009.wav,5.685,train
Alto-1#newboy/0010.wav,7.77,train
Alto-1#newboy/0011.wav,7.42,train
Alto-1#newboy/0012.wav,7.315,train
Alto-1#newboy/0013.wav,4.265,train
Alto-1#newboy/0014.wav,3.82,train
Alto-1#newboy/0015.wav,5.94,train
Alto-1#newboy/0016.wav,7.6,train
Alto-1#newboy/0017.wav,3.105,train
Alto-1#newboy/0018.wav,4.05,train
Alto-1#newboy/0019.wav,7.565,train
Alto-1#newboy/0020.wav,6.789979166666667,train
Alto-1#newboy/0021.wav,4.185020833333334,train
Alto-1#newboy/0022.wav,6.545,train
Alto-1#newboy/0023.wav,3.9699791666666666,train
Alto-1#newboy/0024.wav,4.1100208333333335,train
Alto-1#newboy/0025.wav,6.055,train
Alto-1#newboy/0026.wav,4.3899791666666665,train
Alto-1#newboy/0027.wav,3.4100208333333333,train
Alto-1#newboy/0028.wav,4.295,train
Alto-1#newboy/0029.wav,3.104979166666667,train
Alto-1#newboy/0030.wav,7.405020833333333,train
Alto-1#newboy/0031.wav,7.825,train
Alto-1#newboy/0032.wav,6.26,train
Alto-1#newboy/0033.wav,8.275,train
Alto-1#newboy/0034.wav,6.34,train
Alto-1#newboy/0035.wav,5.02,train
Alto-1#newboy/0036.wav,2.99,train
Alto-1#newboy/0037.wav,4.408979166666667,train
Alto-1#云烟成雨/0000.wav,4.2249791666666665,train
Alto-1#云烟成雨/0001.wav,9.390020833333333,train
Alto-1#云烟成雨/0002.wav,5.65,train
Alto-1#云烟成雨/0003.wav,7.17,train
Alto-1#云烟成雨/0004.wav,6.0999791666666665,train
Alto-1#云烟成雨/0005.wav,6.560020833333334,train
Alto-1#云烟成雨/0006.wav,5.285,train
Alto-1#云烟成雨/0007.wav,3.875,train
Alto-1#云烟成雨/0008.wav,5.32,train
Alto-1#云烟成雨/0009.wav,6.655,train
Alto-1#云烟成雨/0010.wav,6.404979166666666,train
Alto-1#云烟成雨/0011.wav,6.080020833333333,train
Alto-1#云烟成雨/0012.wav,9.025,train
Alto-1#云烟成雨/0013.wav,7.885,train
Alto-1#云烟成雨/0014.wav,6.56,train
Alto-1#云烟成雨/0015.wav,5.235,train
Alto-1#云烟成雨/0016.wav,3.895,train
Alto-1#云烟成雨/0017.wav,4.835,train
Alto-1#云烟成雨/0018.wav,6.4,train
Alto-1#云烟成雨/0019.wav,6.41,train
Alto-1#云烟成雨/0020.wav,6.03,train
Alto-1#云烟成雨/0021.wav,9.505,train
Alto-1#云烟成雨/0022.wav,6.965,train
Alto-1#云烟成雨/0023.wav,6.265,train
Alto-1#云烟成雨/0024.wav,10.015,train
Alto-1#云烟成雨/0025.wav,6.05,train
Alto-1#云烟成雨/0026.wav,6.445,train
Alto-1#云烟成雨/0027.wav,6.095,train
Alto-1#云烟成雨/0028.wav,9.364770833333333,train
Alto-1#催眠/0000.wav,4.03,train
Alto-1#催眠/0001.wav,4.785,train
Alto-1#催眠/0002.wav,9.315,train
Alto-1#催眠/0003.wav,5.005,train
Alto-1#催眠/0004.wav,5.255,train
Alto-1#催眠/0005.wav,5.915,train
Alto-1#催眠/0006.wav,3.455,train
Alto-1#催眠/0007.wav,4.8,train
Alto-1#催眠/0008.wav,5.595,train
Alto-1#催眠/0009.wav,4.74,train
Alto-1#催眠/0010.wav,5.59,train
Alto-1#催眠/0011.wav,5.28,train
Alto-1#催眠/0012.wav,5.165,train
Alto-1#催眠/0013.wav,5.23,train
Alto-1#催眠/0014.wav,5.085,train
Alto-1#催眠/0015.wav,5.81,train
Alto-1#催眠/0016.wav,4.59,train
Alto-1#催眠/0017.wav,5.36,train
Alto-1#催眠/0018.wav,6.085,train
Alto-1#催眠/0019.wav,3.74,train
Alto-1#催眠/0020.wav,4.705,train
Alto-1#催眠/0021.wav,5.985,train
Alto-1#催眠/0022.wav,5.53,train
Alto-1#催眠/0023.wav,3.53,train
Alto-1#催眠/0024.wav,4.785,train
Alto-1#催眠/0025.wav,5.55,train
Alto-1#催眠/0026.wav,4.735,train
Alto-1#催眠/0027.wav,2.77,train
Alto-1#催眠/0028.wav,2.82,train
Alto-1#催眠/0029.wav,5.35,train
Alto-1#催眠/0030.wav,5.87,train
Alto-1#催眠/0031.wav,5.165,train
Alto-1#催眠/0032.wav,5.255,train
Alto-1#催眠/0033.wav,7.699979166666667,train
Alto-1#催眠/0034.wav,5.550020833333333,train
Alto-1#催眠/0035.wav,4.725,train
Alto-1#催眠/0036.wav,5.645,train
Alto-1#催眠/0037.wav,5.473375,train
Alto-1#匆匆那年/0000.wav,5.745,train
Alto-1#匆匆那年/0001.wav,5.555,train
Alto-1#匆匆那年/0002.wav,5.65,train
Alto-1#匆匆那年/0003.wav,4.37,train
Alto-1#匆匆那年/0004.wav,6.2,train
Alto-1#匆匆那年/0005.wav,5.615,train
Alto-1#匆匆那年/0006.wav,5.524979166666666,train
Alto-1#匆匆那年/0007.wav,4.14,train
Alto-1#匆匆那年/0008.wav,4.785,train
Alto-1#匆匆那年/0009.wav,7.370020833333333,train
Alto-1#匆匆那年/0010.wav,5.19,train
Alto-1#匆匆那年/0011.wav,6.064979166666666,train
Alto-1#匆匆那年/0012.wav,5.595020833333334,train
Alto-1#匆匆那年/0013.wav,5.135,train
Alto-1#匆匆那年/0014.wav,5.674979166666667,train
Alto-1#匆匆那年/0015.wav,6.605020833333334,train
Alto-1#匆匆那年/0016.wav,5.535,train
Alto-1#匆匆那年/0017.wav,5.605,train
Alto-1#匆匆那年/0018.wav,5.13,train
Alto-1#匆匆那年/0019.wav,6.07,train
Alto-1#匆匆那年/0020.wav,5.78,train
Alto-1#匆匆那年/0021.wav,5.575,train
Alto-1#匆匆那年/0022.wav,3.94,train
Alto-1#匆匆那年/0023.wav,5.32,train
Alto-1#匆匆那年/0024.wav,7.225,train
Alto-1#匆匆那年/0025.wav,5.165,train
Alto-1#匆匆那年/0026.wav,6.0,train
Alto-1#匆匆那年/0027.wav,5.285,train
Alto-1#匆匆那年/0028.wav,6.065,train
Alto-1#匆匆那年/0029.wav,5.164979166666667,train
Alto-1#匆匆那年/0030.wav,6.020020833333334,train
