name,label_path,duration,split
FEMALE/MIC/F01/mic_F01_sa1.wav,FEMALE/REF/F01/ref_F01_sa1.f0,7.99,test
FEMALE/MIC/F01/mic_F01_sa2.wav,FEMALE/REF/F01/ref_F01_sa2.f0,7.296,test
FEMALE/MIC/F01/mic_F01_si453.wav,FEMALE/REF/F01/ref_F01_si453.f0,7.39,test
FEMALE/MIC/F01/mic_F01_si454.wav,FEMALE/REF/F01/ref_F01_si454.f0,9.2,test
FEMALE/MIC/F01/mic_F01_si455.wav,FEMALE/REF/F01/ref_F01_si455.f0,7.9,test
FEMALE/MIC/F01/mic_F01_si456.wav,FEMALE/REF/F01/ref_F01_si456.f0,7.64,test
FEMALE/MIC/F01/mic_F01_si457.wav,FEMALE/REF/F01/ref_F01_si457.f0,7.12,test
FEMALE/MIC/F01/mic_F01_si458.wav,FEMALE/REF/F01/ref_F01_si458.f0,7.12,test
FEMALE/MIC/F01/mic_F01_si459.wav,FEMALE/REF/F01/ref_F01_si459.f0,8.91,test
FEMALE/MIC/F01/mic_F01_si460.wav,FEMALE/REF/F01/ref_F01_si460.f0,8.4,test
FEMALE/MIC/F01/mic_F01_si461.wav,FEMALE/REF/F01/ref_F01_si461.f0,7.64,test
FEMALE/MIC/F01/mic_F01_si462.wav,FEMALE/REF/F01/ref_F01_si462.f0,9.93,test
FEMALE/MIC/F01/mic_F01_si463.wav,FEMALE/REF/F01/ref_F01_si463.f0,6.14,test
FEMALE/MIC/F01/mic_F01_si464.wav,FEMALE/REF/F01/ref_F01_si464.f0,8.59,test
FEMALE/MIC/F01/mic_F01_si465.wav,FEMALE/REF/F01/ref_F01_si465.f0,7.14,test
FEMALE/MIC/F01/mic_F01_si466.wav,FEMALE/REF/F01/ref_F01_si466.f0,6.37,test
FEMALE/MIC/F01/mic_F01_si467.wav,FEMALE/REF/F01/ref_F01_si467.f0,8.16,test
FEMALE/MIC/F01/mic_F01_si468.wav,FEMALE/REF/F01/ref_F01_si468.f0,7.4,test
FEMALE/MIC/F01/mic_F01_si469.wav,FEMALE/REF/F01/ref_F01_si469.f0,7.14,test
FEMALE/MIC/F01/mic_F01_si470.wav,FEMALE/REF/F01/ref_F01_si470.f0,6.12,test
